,Unnamed: 0,id_city,City,lat,lon,temp_min1,temp_max1,precipitation1,wind1,wind_dir1,temp_min2,temp_max2,precipitation2,wind2,wind_dir2,temp_min3,temp_max3,precipitation3,wind3,wind_dir3,temp_min4,temp_max4,precipitation4,wind4,wind_dir4,temp_min5,temp_max5,precipitation5,wind5,wind_dir5,temp_min6,temp_max6,precipitation6,wind6,wind_dir6,temp_min7,temp_max7,precipitation7,wind7,wind_dir7,score,score_exp
0,0,0,Mont Saint Michel,48.6359541,-1.511459954959514,6.8,12.0,5.4,31.2,South,12.3,14.4,1.6,23.9,South,10.9,13.5,0.6,18.9,South,10.8,13.0,1.1,21.3,South,8.5,11.8,2.9,28.9,South,6.5,10.2,1.3,25.5,South,5.7,11.6,6.6,41.6,West,7.921208817829458,2755.0994469427515
1,1,1,St Malo,48.649518,-2.0260409,6.2,12.1,2.6,41.5,South,12.5,13.3,0.8,36.9,West,10.6,13.0,0.9,24.2,South,8.3,13.1,1.9,31.6,South,9.3,11.2,2.1,37.0,South,6.2,10.5,0.5,25.5,South,5.8,11.8,5.7,38.5,West,7.826252236135956,2505.5216519635464
2,2,2,Bayeux,49.2764624,-0.7024738,6.8,11.6,1.8,31.1,South,12.0,13.6,1.4,26.8,West,11.0,13.4,0.0,23.0,West,11.0,12.9,1.3,24.8,South,8.6,11.8,2.4,27.7,South,6.9,10.1,0.6,27.7,West,6.1,10.9,6.0,34.9,West,7.974683746486071,2906.4385553347634
3,3,3,Le Havre,49.4938975,0.1079732,7.6,10.9,3.0,30.9,South,11.0,12.7,1.9,25.9,West,11.3,12.5,0.3,19.8,West,10.8,12.7,2.1,18.7,South,8.8,12.0,3.0,24.1,South,7.8,10.2,0.9,26.0,West,6.4,9.9,11.4,28.3,West,7.763514380483857,2353.159990041971
4,4,4,Rouen,49.4404591,1.0939658,6.3,10.6,2.9,19.8,South,10.8,13.7,3.1,21.2,West,11.1,13.6,0.1,14.4,West,10.7,12.7,2.7,15.6,South,8.0,11.6,4.3,19.5,South,6.4,10.4,2.2,19.1,South,5.4,10.7,9.6,25.7,West,7.922267255515804,2758.0170918272916
5,5,5,Paris,48.8588897,2.3200410217200766,5.2,9.0,1.6,15.2,South,9.0,13.3,2.4,18.9,South,11.4,14.4,0.1,14.9,West,10.5,12.7,0.1,12.5,South,7.6,10.9,1.1,15.9,South,8.4,10.4,8.1,18.7,South,5.5,10.6,5.1,22.1,West,8.07117168200017,3200.8500111531257
6,6,6,Amiens,49.8941708,2.2956951,5.1,10.7,1.6,20.9,South,9.8,13.9,1.4,22.4,West,10.3,13.3,0.4,16.3,West,10.4,12.1,0.8,20.5,South,8.2,11.2,2.5,21.8,South,7.0,10.1,2.5,27.2,South,5.5,6.7,8.1,25.9,South,7.869278420223188,2615.6774870842914
7,7,7,Lille,50.6365654,3.0635282,4.7,10.1,0.9,25.2,South,9.0,13.9,1.1,24.4,West,9.8,12.2,0.6,17.4,West,9.1,11.6,0.7,19.5,South,8.7,11.0,2.1,21.3,South,6.7,9.6,3.3,27.4,South,5.1,6.6,9.0,16.0,South,7.79156763778857,2420.1084635341435
8,8,8,Strasbourg,48.584614,7.7507127,2.6,10.3,0.0,9.2,South,4.7,10.6,1.2,20.4,South,10.0,12.8,2.5,17.4,South,8.2,12.0,0.1,11.0,South,5.0,9.5,0.0,7.9,South,5.2,10.1,2.4,12.0,South,6.1,9.2,11.2,18.6,South,7.987815321790613,2944.8563632039277
9,9,9,Chateau du Haut Koenigsbourg,48.2495226,7.3454923,2.2,5.9,0.0,8.4,West,2.1,8.5,1.9,39.2,West,7.3,9.2,5.1,27.2,West,3.9,8.8,0.0,6.8,West,3.1,7.0,0.0,6.9,South,5.7,7.6,5.5,17.8,South,4.0,6.6,12.7,22.7,West,7.116852212709772,1232.5644698083722
10,10,10,Colmar,48.0777517,7.3579641,2.4,10.2,0.1,9.0,South,1.9,10.9,0.0,16.8,South,8.4,12.0,0.3,13.1,South,5.0,12.1,0.0,9.5,South,3.0,9.7,0.0,9.0,South,5.6,10.9,3.2,14.7,South,6.8,9.7,9.1,20.7,South,8.132562398841468,3403.509550076007
11,11,11,Eguisheim,48.0447968,7.3079618,5.3,10.0,0.0,9.5,West,4.8,11.6,1.9,18.4,South,8.1,12.3,0.7,20.6,South,5.4,12.1,0.0,7.6,West,3.8,9.9,0.0,8.3,South,7.1,10.9,3.2,15.0,South,6.8,9.7,9.1,20.7,South,8.084738505196356,3244.571286131053
12,12,12,Besancon,47.2380222,6.0243622,5.4,10.3,1.1,6.1,West,5.1,11.1,4.0,19.0,South,9.9,10.7,16.9,18.9,South,5.6,11.3,0.1,12.6,South,2.8,12.5,0.0,25.1,South,9.0,10.7,13.7,30.3,South,7.8,10.1,14.8,42.3,South,7.104023314379418,1216.853021310051
